Client Name,Service Name,Email,Category,Type,Item,
DigitalVideoWebsiteTools,CelioService,dv-web-team@amazon.com,Digital Video,Website,Infrastructure,<a href="/relationships/amzn1.aaa.rel.dyzkuhbchp3wtwx7gtjq">View</a>
RetailWebsite39,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.g7b44ntzyl3hvsqnqdsa">View</a>
RetailWebsite54,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.m6jeccxsqlqw37bv5tkq">View</a>
RetailWebsite71,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rilvagus2qk634tnqe4a">View</a>
RetailWebsite15,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.s4dwlxk327htut63ywla">View</a>
RetailWebsite14,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.o7zapnxgtraw7ahrgoxq">View</a>
RetailWebsite96,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6wxdkhp76senntmwdgta">View</a>
RetailWebsite38,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ijkhmxzho4avsw2kwzfa">View</a>
RetailWebsite61,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.jb62xfojw4kid2fmvikq">View</a>
RetailWebsite127,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6m5zbrps4fug36xrmyha">View</a>
RetailWebsite16,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.e57wnso6hzrxj7gkmh3a">View</a>
RetailWebsite106,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.xlejrlskg32m3ccthvja">View</a>
RetailWebsite112,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fbto6answkhwrl44k6kq">View</a>
INGCTests,CelioService,indiapaymentsqa@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.kzxkiibn72de65vrq7ga">View</a>
RetailWebsite23,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.pcckcd43sscmwb2b4puq">View</a>
RetailWebsite49,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.a5ynk6cnykgosj32u2ya">View</a>
RetailWebsite105,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.45ogzauzqut4sktcvfoq">View</a>
RetailWebsite5,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6x6vsz5yrvdklzzv5x3q">View</a>
RetailWebsite108,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fut5mkka5ctj5xg7coma">View</a>
RetailWebsite139,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2ux5u5ifhpcbdrkha57a">View</a>
RetailWebsite121,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.g72ds7wc4mtak3bznsza">View</a>
HerdEngine,CelioService,herd-internal@amazon.com,Software,Herd,Service,<a href="/relationships/amzn1.aaa.rel.tbmjfg62fzt7ptudnqla">View</a>
RetailWebsite91,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ffk7knofluais45hx4oa">View</a>
RetailWebsite4,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.h2wfjqkvbq4kksun6rea">View</a>
RetailWebsite66,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.xnanb22gtmkkktm4vv3q">View</a>
RetailWebsite59,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.tud5aruhuhlmi55szfiq">View</a>
RetailWebsite67,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.knxpmuemjzbz62nszn4a">View</a>
RetailWebsite120,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.q3gg3i57nbwl3howc5iq">View</a>
RetailWebsite76,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.axh2dukcakvpwjaubxmq">View</a>
RetailWebsite75,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.d5cjbasapxwta2yq4uwa">View</a>
CelioServiceTests,CelioService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.xyvummolvl7p4b6o4y4q">View</a>
RetailWebsite99,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.n2buo2zkti67tzstmzpq">View</a>
RetailWebsite90,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3lstf4bdakyqtu3i3kba">View</a>
